Year,Age,Sex,mx
1843,96,Female,0.38987
1843,96,Male,0.38626
1843,97,Female,0.41479
1843,97,Male,0.40675
1843,98,Female,0.44051
1843,98,Male,0.42753
1843,99,Female,0.46724
1843,99,Male,0.44915
1843,100,Female,0.49656
1843,100,Male,0.47523
1843,101,Female,0.52868
1843,101,Male,0.50216
1843,102,Female,0.56646
1843,102,Male,0.53458
1843,103,Female,0.61225
1843,103,Male,0.59788
1843,104,Female,0.65745
1843,104,Male,0.72347
1843,105,Female,0.74371
1843,105,Male,0.95556
1843,106,Female,0.96657
1843,106,Male,1.54128
1843,107,Female,1.36430
1843,107,Male,NA
1843,108,Female,6.00000
1843,108,Male,NA
1843,109,Female,NA
1843,109,Male,NA
1843,110,Female,NA
1843,110,Male,NA
1844,0,Female,0.14552
1844,0,Male,0.18227
1844,1,Female,0.06058
1844,1,Male,0.06405
1844,2,Female,0.03644
1844,2,Male,0.03652
1844,3,Female,0.02455
1844,3,Male,0.02476
1844,4,Female,0.01738
1844,4,Male,0.01849
1844,5,Female,0.01360
1844,5,Male,0.01454
1844,6,Female,0.01088
1844,6,Male,0.01141
1844,7,Female,0.00849
1844,7,Male,0.00869
1844,8,Female,0.00658
1844,8,Male,0.00654
1844,9,Female,0.00544
1844,9,Male,0.00534
1844,10,Female,0.00500
1844,10,Male,0.00490
1844,11,Female,0.00482
1844,11,Male,0.00469
1844,12,Female,0.00486
1844,12,Male,0.00462
1844,13,Female,0.00510
1844,13,Male,0.00468
1844,14,Female,0.00555
1844,14,Male,0.00491
1844,15,Female,0.00624
1844,15,Male,0.00529
1844,16,Female,0.00693
1844,16,Male,0.00576
1844,17,Female,0.00755
1844,17,Male,0.00633
1844,18,Female,0.00806
1844,18,Male,0.00700
1844,19,Female,0.00852
1844,19,Male,0.00771
1844,20,Female,0.00894
1844,20,Male,0.00838
1844,21,Female,0.00926
1844,21,Male,0.00890
1844,22,Female,0.00934
1844,22,Male,0.00924
1844,23,Female,0.00918
1844,23,Male,0.00940
1844,24,Female,0.00913
1844,24,Male,0.00938
1844,25,Female,0.00916
1844,25,Male,0.00923
1844,26,Female,0.00923
1844,26,Male,0.00911
1844,27,Female,0.00946
1844,27,Male,0.00913
1844,28,Female,0.00988
1844,28,Male,0.00926
1844,29,Female,0.01019
1844,29,Male,0.00937
1844,30,Female,0.01030
1844,30,Male,0.00943
1844,31,Female,0.01035
1844,31,Male,0.00949
1844,32,Female,0.01038
1844,32,Male,0.00954
1844,33,Female,0.01039
1844,33,Male,0.00958
1844,34,Female,0.01044
1844,34,Male,0.00975
1844,35,Female,0.01056
1844,35,Male,0.01008
1844,36,Female,0.01077
1844,36,Male,0.01050
